type,winner_country,n
Plain stage,FRA,329
Plain stage,BEL,225
Stage with mountain,FRA,184
Plain stage,ITA,131
Stage with mountain,BEL,105
Plain stage,NED,87
Stage with mountain,ITA,80
Stage with mountain,ESP,51
Flat stage,GBR,30
Individual time trial,FRA,29
Flat stage,GER,28
Stage with mountain,LUX,28
Plain stage,LUX,25
Plain stage,SUI,22
Hilly stage,FRA,20
Plain stage,GER,20
Stage with mountain,NED,18
Plain stage,ESP,16
Team time trial,BEL,16
Individual time trial,USA,14
Plain stage,AUS,14
Team time trial,FRA,14
Individual time trial,BEL,13
Individual time trial,ESP,13
Stage with mountain,SUI,13
High mountain stage,FRA,11
Hilly stage,BEL,11
Hilly stage,NED,11
Plain stage,GBR,11
Flat stage,FRA,10
Stage with mountain,USA,10
Flat stage,ITA,9
Mountain stage,FRA,9
Mountain stage,ESP,9
Individual time trial,GER,8
Individual time trial,SUI,8
Stage with mountain,COL,8
Flat stage,NOR,7
Individual time trial,NED,7
Individual time trial,GBR,7
Plain stage,DEN,7
Flat stage,SVK,6
Hilly stage,ESP,6
Stage with mountain,GBR,6
Flat stage,ESP,5
Flat stage,AUS,5
High mountain stage,ESP,5
Hilly stage,ITA,5
Medium mountain stage,FRA,5
Plain stage,USA,5
Plain stage,POR,5
Plain stage,FRG,5
Plain stage,UZB,5
Flat Stage,BEL,4
High mountain stage,ITA,4
High mountain stage,GBR,4
Hilly stage,DEN,4
Individual time trial,ITA,4
Medium mountain stage,GER,4
Medium mountain stage,GBR,4
Medium mountain stage,AUS,4
Mountain stage,LUX,4
Mountain stage,USA,4
Plain stage,EST,4
Stage with mountain,FRG,4
Team time trial,LUX,4
High mountain stage,COL,3
High mountain stage,POL,3
Hilly stage,COL,3
Hilly stage,IRE,3
Individual time trial,LUX,3
Medium mountain stage,BEL,3
Medium mountain stage,ITA,3
Medium mountain stage,ESP,3
Mountain stage,ITA,3
Mountain stage,DEN,3
Mountain Stage,NED,3
Mountain time trial,ESP,3
Plain stage,IRE,3
Plain stage,URS,3
Stage with mountain,GER,3
Stage with mountain,DEN,3
Flat stage,BEL,2
Flat stage,NED,2
Flat Stage,FRA,2
Flat Stage,ITA,2
High mountain stage,BEL,2
High mountain stage,NOR,2
High mountain stage,POR,2
Hilly stage,GER,2
Hilly stage,SUI,2
Hilly stage,UZB,2
Hilly stage,URS,2
Individual time trial,AUS,2
Individual time trial,UKR,2
Intermediate stage,ITA,2
Medium mountain stage,NED,2
Medium mountain stage,POR,2
Medium mountain stage,SVK,2
Mountain stage,GER,2
Mountain stage,RUS,2
Mountain Stage,FRA,2
Mountain Stage,BEL,2
Mountain Stage,ESP,2
Mountain time trial,ITA,2
Mountain time trial,NED,2
Plain stage,NOR,2
Plain stage,RUS,2
Plain stage,AUT,2
Plain stage,CZE,2
Stage with mountain,POR,2
Team time trial,USA,2
Transition stage,ESP,2
Flat cobblestone stage,NED,1
Flat cobblestone stage,NOR,1
Flat stage,USA,1
Flat stage,DEN,1
Flat stage,RUS,1
Flat stage,KAZ,1
Flat stage,CZE,1
Flat stage,LTU,1
Flat Stage,NED,1
High mountain stage,NED,1
High mountain stage,GER,1
High mountain stage,LUX,1
High mountain stage,AUS,1
High mountain stage,RUS,1
High mountain stage,IRL,1
High mountain stage,SLO,1
Hilly stage,GBR,1
Hilly stage,AUS,1
Hilly stage,NOR,1
Hilly stage,UKR,1
Individual time trial,COL,1
Individual time trial,IRE,1
Individual time trial,RUS,1
Individual time trial,POL,1
Individual time trial,MEX,1
Intermediate stage,BEL,1
Medium mountain stage,NOR,1
Mountain stage,AUS,1
Mountain stage,COL,1
Mountain stage,AUT,1
Mountain stage,KAZ,1
Mountain Stage,ITA,1
Mountain Stage,LUX,1
Mountain time trial,FRA,1
Mountain time trial,LUX,1
Mountain time trial,GBR,1
Mountain time trial,SUI,1
Mountain time trial,LAT,1
Plain stage,SVK,1
Plain stage,KAZ,1
Plain stage,UKR,1
Plain stage,IRL,1
Plain stage,MEX,1
Plain stage,BRA,1
Plain stage,CAN,1
Plain stage,GDR,1
Plain stage,RSA,1
Plain stage,SWE,1
Plain stage with cobblestones,NED,1
Stage with mountain,NOR,1
Stage with mountain,IRE,1
Stage with mountain,URS,1
Stage with mountain,POL,1
Stage with mountain,AUT,1
Stage with mountain,KAZ,1
Stage with mountain,LAT,1
Transition stage,GER,1
Transition stage,NOR,1
