winner_country,stage,n
FRA,11,40
FRA,14,36
FRA,6,33
FRA,9,33
FRA,12,33
FRA,5,32
FRA,13,31
FRA,4,30
FRA,3,29
FRA,7,29
FRA,8,29
FRA,10,29
FRA,15,29
FRA,1,28
BEL,2,28
FRA,2,27
BEL,4,25
BEL,6,25
FRA,18,24
FRA,20,24
FRA,16,23
FRA,17,22
BEL,3,21
BEL,1,20
BEL,10,20
FRA,21,19
BEL,8,19
BEL,9,19
BEL,15,19
FRA,19,18
BEL,7,18
BEL,12,18
ITA,7,18
ITA,18,17
BEL,5,16
BEL,13,16
BEL,16,16
BEL,19,16
ITA,13,16
BEL,14,15
ITA,10,15
ITA,15,15
BEL,11,14
BEL,21,14
ITA,5,13
BEL,17,12
ITA,2,12
BEL,20,11
ITA,3,11
ITA,6,11
ITA,8,11
ITA,11,11
ITA,14,11
ITA,16,11
BEL,18,10
ITA,1,10
ITA,17,10
NED,5,10
NED,8,10
NED,17,10
ESP,9,10
ESP,15,10
NA,4,10
ITA,19,9
NED,6,9
NED,9,9
ESP,14,9
ESP,16,9
FRA,22,8
ITA,12,8
ITA,21,8
NED,7,8
NED,10,8
NED,12,8
ESP,8,8
ESP,17,8
NA,2,8
BEL,22,7
ITA,9,7
ITA,20,7
ITA,22,7
NED,4,7
ESP,10,7
ESP,13,7
ESP,20,7
GER,3,7
NED,20,6
NED,21,6
ESP,11,6
ESP,18,6
GER,4,6
LUX,4,6
GBR,7,6
GBR,11,6
GBR,19,6
SUI,1,6
USA,19,6
FRA,23,5
FRA,24,5
BEL,23,5
ITA,4,5
NED,3,5
NED,11,5
NED,13,5
NED,18,5
ESP,12,5
ESP,19,5
GER,6,5
GER,10,5
GER,20,5
GER,21,5
LUX,12,5
LUX,15,5
LUX,18,5
GBR,10,5
NED,1,4
NED,2,4
NED,16,4
NED,19,4
GER,1,4
GER,7,4
GER,13,4
LUX,2,4
LUX,3,4
LUX,8,4
LUX,17,4
GBR,5,4
GBR,8,4
GBR,13,4
GBR,18,4
GBR,20,4
SUI,5,4
SUI,16,4
SUI,19,4
AUS,2,4
NA,3,4
NED,14,3
NED,15,3
NED,22,3
ESP,7,3
ESP,21,3
GER,2,3
GER,5,3
GER,8,3
GER,12,3
LUX,1,3
LUX,5,3
LUX,6,3
LUX,7,3
LUX,9,3
LUX,13,3
LUX,21,3
GBR,1,3
GBR,6,3
GBR,14,3
SUI,4,3
SUI,11,3
SUI,12,3
SUI,14,3
USA,13,3
USA,15,3
DEN,9,3
DEN,16,3
COL,9,3
COL,11,3
COL,15,3
UZB,20,3
ITA,23,2
ESP,2,2
ESP,3,2
ESP,4,2
ESP,6,2
ESP,22,2
GER,11,2
GER,15,2
GER,16,2
GER,17,2
GER,19,2
LUX,10,2
LUX,11,2
LUX,14,2
LUX,22,2
GBR,2,2
GBR,3,2
GBR,12,2
GBR,15,2
GBR,21,2
SUI,7,2
SUI,9,2
SUI,20,2
SUI,22,2
USA,3,2
USA,4,2
USA,8,2
USA,11,2
USA,12,2
USA,16,2
USA,18,2
USA,21,2
AUS,1,2
AUS,3,2
AUS,4,2
AUS,5,2
AUS,7,2
AUS,10,2
AUS,13,2
AUS,14,2
AUS,16,2
AUS,20,2
DEN,8,2
DEN,10,2
DEN,12,2
DEN,13,2
COL,12,2
COL,14,2
COL,17,2
NOR,6,2
POR,5,2
FRG,1,2
SVK,3,2
SVK,7,2
RUS,9,2
RUS,14,2
EST,1,2
NA,5,2
ITA,24,1
ESP,1,1
ESP,5,1
GER,9,1
GER,18,1
LUX,23,1
GBR,9,1
GBR,17,1
SUI,2,1
SUI,3,1
SUI,6,1
SUI,10,1
SUI,13,1
SUI,17,1
SUI,18,1
SUI,21,1
USA,1,1
USA,5,1
USA,9,1
USA,10,1
USA,14,1
USA,17,1
USA,20,1
USA,25,1
AUS,6,1
AUS,9,1
AUS,15,1
AUS,17,1
DEN,5,1
DEN,7,1
DEN,14,1
DEN,19,1
COL,20,1
NOR,2,1
NOR,3,1
NOR,4,1
NOR,8,1
NOR,11,1
NOR,12,1
NOR,13,1
NOR,14,1
NOR,15,1
NOR,16,1
NOR,17,1
NOR,18,1
NOR,19,1
NOR,20,1
POR,1,1
POR,3,1
POR,4,1
POR,8,1
POR,10,1
POR,14,1
POR,16,1
POR,17,1
POR,19,1
FRG,2,1
FRG,3,1
FRG,9,1
FRG,12,1
FRG,15,1
FRG,16,1
FRG,17,1
SVK,1,1
SVK,2,1
SVK,6,1
SVK,11,1
SVK,16,1
IRE,6,1
IRE,8,1
IRE,10,1
IRE,12,1
IRE,15,1
IRE,16,1
IRE,19,1
IRE,21,1
RUS,8,1
RUS,11,1
RUS,17,1
UZB,1,1
UZB,3,1
UZB,14,1
UZB,18,1
URS,1,1
URS,4,1
URS,17,1
URS,19,1
URS,20,1
URS,22,1
POL,11,1
POL,14,1
POL,16,1
POL,17,1
POL,20,1
AUT,2,1
AUT,12,1
AUT,14,1
AUT,17,1
EST,5,1
EST,6,1
KAZ,9,1
KAZ,11,1
KAZ,13,1
KAZ,21,1
UKR,7,1
UKR,12,1
UKR,13,1
UKR,19,1
CZE,2,1
CZE,6,1
CZE,20,1
IRL,3,1
IRL,9,1
LAT,18,1
LAT,19,1
MEX,3,1
MEX,7,1
BRA,9,1
CAN,1,1
GDR,8,1
LTU,19,1
RSA,11,1
SLO,17,1
SWE,19,1
NA,8,1
NA,9,1
NA,16,1
NA,17,1
NA,18,1
