edition,Date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,nationality
1,7/1/1903,Maurice Garin,La Française,2428,94.55388889,2.989166667,3,6,1.62,60,32,1871-03-03, France
32,7/5/1938,Gino Bartali,Italy,4694,148.4866667,0.305,2,8,1.72,66,23,7/18/1914, Italy
34,6/25/1947,Jean Robic,France,4642,148.1902778,0.050833333,3,1,1.61,60,26,6/10/1921, France
35,6/30/1948,Gino Bartali,Italy,4922,147.1766667,0.440555556,7,9,1.72,66,33,7/18/1914, Italy
36,6/30/1949,Fausto Coppi,Italy,4808,149.6802778,0.169444444,3,5,1.77,68,29,9/15/1919, Italy
39,6/25/1952,Fausto Coppi,Italy,4898,151.9555556,0.474444444,5,14,1.77,68,30,9/15/1919, Italy
40,7/3/1953,Louison Bobet,France,4476,129.3902778,0.237222222,2,5,1.79,75,26,3/12/1925, France
41,7/8/1954,Louison Bobet,France,4656,140.1013889,0.254166667,3,14,1.79,75,29,3/12/1925, France
42,7/7/1955,Louison Bobet,France,4495,130.4905556,0.067777778,2,6,1.79,75,30,3/12/1925, France
44,6/27/1957,Jacques Anquetil,France,4669,135.745,0.237222222,4,15,1.76,70,23,1/8/1934, France
45,6/26/1958,Charly Gaul,Luxembourg,4319,116.9847222,0.050833333,4,2,1.73,64,25,12/8/1932, Luxembourg
48,6/25/1961,Jacques Anquetil,France,4397,122.0258333,0.203333333,2,21,1.76,70,27,1/8/1934, France
49,6/24/1962,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,4274,114.5316667,0.067777778,2,3,1.76,70,28,1/8/1934, France
50,6/23/1963,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,4138,113.5013889,0.050833333,4,5,1.76,70,29,1/8/1934, France
51,6/22/1964,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,4504,127.1622222,0.015277778,4,6,1.76,70,30,1/8/1934, France
52,6/22/1965,Felice Gimondi,Salvarani,4188,116.7016667,0.033888889,3,18,1.81,71,22,9/29/1942, Italy
54,6/29/1967,Roger Pingeon,Peugeot–BP–Michelin,4779,136.8972222,0.050833333,1,17,1.82,72,26,8/28/1940, France
56,6/28/1969,Eddy Merckx,Faema,4117,116.2672222,0.288055556,6,18,1.82,74,24,6/17/1945, Belgium
57,6/27/1970,Eddy Merckx,Faemino–Faema,4254,119.5302778,0.203333333,8,20,1.82,74,25,6/17/1945, Belgium
58,6/26/1971,Eddy Merckx,Molteni,3608,96.75388889,0.1525,4,17,1.82,74,26,6/17/1945, Belgium
59,7/1/1972,Eddy Merckx,Molteni,3846,108.2883333,0.169444444,6,15,1.82,74,27,6/17/1945, Belgium
60,6/30/1973,Luis Ocaña,Bic,4090,122.4261111,0.254166667,6,14,1.65,52,28,6/9/1945, Spain
61,6/27/1974,Eddy Merckx,Molteni,4098,116.2827778,0.135555556,8,18,1.82,74,29,6/17/1945, Belgium
65,6/29/1978,Bernard Hinault,Renault–Gitane–Campagnolo,3908,108.3,0.050833333,3,3,1.74,62,23,11/14/1954, France
66,6/27/1979,Bernard Hinault,Renault–Gitane,3765,103.1138889,0.220277778,7,17,1.74,62,24,11/14/1954, France
67,6/26/1980,Joop Zoetemelk,TI–Raleigh–Creda,3842,109.3205556,0.101666667,2,10,1.73,68,33,12/3/1946, Netherlands
68,6/25/1981,Bernard Hinault,Renault–Elf–Gitane,3753,96.32722222,0.237222222,5,18,1.74,62,26,11/14/1954, France
69,7/2/1982,Bernard Hinault,Renault–Elf–Gitane,3507,92.14611111,0.101666667,4,12,1.74,62,27,11/14/1954, France
70,7/1/1983,Laurent Fignon,Renault–Elf,3809,105.1311111,0.067777778,1,6,1.74,67,22,8/12/1960, France
71,6/29/1984,Laurent Fignon,Renault–Elf,4021,112.0611111,0.169444444,5,7,1.74,67,23,8/12/1960, France
72,6/28/1985,Bernard Hinault,La Vie Claire,4109,113.4063889,0.016944444,2,16,1.74,62,30,11/14/1954, France
73,7/4/1986,Greg LeMond,La Vie Claire,4094,110.5886111,0.050833333,1,7,1.78,67,25,6/26/1961, United States
74,7/1/1987,Stephen Roche,Carrera Jeans–Vagabond,4231,115.4616667,0.011111111,1,3,1.75,74,27,11/28/1959, Ireland
75,7/2/1988,Pedro Delgado,Reynolds,3286,84.46472222,0.118611111,1,11,1.71,64,28,4/15/1960, Spain
76,7/1/1989,Greg LeMond,AD Renting–W-Cup–Bottecchia,3285,87.64305556,0.002222222,3,8,1.78,67,28,6/26/1961, United States
77,6/30/1990,Greg LeMond,Z–Tomasso,3504,90.72222222,0.033888889,0,2,1.78,67,29,6/26/1961, United States
78,7/6/1991,Miguel Induráin,Banesto,3914,101.0222222,0.050833333,2,10,1.86,80,26,7/16/1964, Spain
79,7/4/1992,Miguel Induráin,Banesto,3983,100.825,0.067777778,3,10,1.86,80,27,7/16/1964, Spain
80,7/3/1993,Miguel Induráin,Banesto,3714,95.9525,0.067777778,2,14,1.86,80,28,7/16/1964, Spain
81,7/2/1994,Miguel Induráin,Banesto,3978,103.6438889,0.084722222,1,13,1.86,80,29,7/16/1964, Spain
82,7/1/1995,Miguel Induráin,Banesto,3635,92.74972222,0.067777778,2,13,1.86,80,30,7/16/1964, Spain
83,6/29/1996,Bjarne Riis,Team Telekom,3765,95.95444444,0.016944444,2,13,1.84,71,32,4/3/1964, Denmark
84,7/5/1997,Jan Ullrich,Team Telekom,3950,100.5097222,0.1525,2,12,1.83,73,23,12/2/1973, Germany
85,7/11/1998,Marco Pantani,Mercatone Uno–Bianchi,3875,92.82944444,0.050833333,2,7,1.72,57,28,1/13/1970, Italy
86,7/3/1999,Lance Armstrong,U.S. Postal Service,3687,91.53777778,0.118611111,4,15,1.77,75,27,9/18/1971, United States
87,7/1/2000,Lance Armstrong,U.S. Postal Service,3662,92.55222222,0.101666667,1,12,1.77,75,28,9/18/1971, United States
88,7/7/2001,Lance Armstrong,U.S. Postal Service,3458,86.29111111,0.101666667,4,8,1.77,75,29,9/18/1971, United States
89,7/6/2002,Lance Armstrong,U.S. Postal Service,3272,82.08666667,0.118611111,4,11,1.77,75,30,9/18/1971, United States
90,7/5/2003,Lance Armstrong,U.S. Postal Service,3427,83.68666667,0.016944444,1,13,1.77,75,31,9/18/1971, United States
91,7/3/2004,Lance Armstrong,U.S. Postal Service,3391,83.60055556,0.101666667,5,7,1.77,75,32,9/18/1971, United States
92,7/2/2005,Lance Armstrong,Discovery Channel,3593,86.25055556,0.067777778,1,17,1.77,75,33,9/18/1971, United States
93,7/1/2006,Óscar Pereiro,Caisse d'Epargne–Illes Balears,3657,89.67416667,0.008888889,0,8,1.77,68,28,8/3/1977, Spain
94,7/7/2007,Alberto Contador,Discovery Channel,3570,91.00722222,0.006388889,1,4,1.76,62,24,12/6/1982, Spain
95,7/5/2008,Carlos Sastre,Team CSC,3559,87.88111111,0.016111111,1,5,1.73,60,33,4/22/1975, Spain
96,7/4/2009,Alberto Contador,Astana,3459,85.80972222,0.067777778,2,7,1.76,62,26,12/6/1982, Spain
97,7/3/2010,Andy Schleck,Team Saxo Bank,3642,91.99083333,0.016944444,2,12,1.86,68,25,6/10/1985, Luxembourg
98,7/2/2011,Cadel Evans,BMC Racing Team,3430,86.20611111,0.016944444,1,2,1.74,64,34,2/14/1977, Australia
99,6/20/2012,Bradley Wiggins,Team Sky,3496,87.57972222,0.050833333,2,14,1.9,69,32,4/28/1980, Great Britain
100,6/29/2013,Chris Froome,Team Sky,3404,83.93888889,0.067777778,3,14,1.86,69,28,5/20/1985, Great Britain
101,7/5/2014,Vincenzo Nibali,Astana,3660.5,89.985,0.118611111,4,19,1.8,65,29,11/14/1984, Italy
102,7/4/2015,Chris Froome,Team Sky,3360.3,84.77055556,0.016944444,1,16,1.86,69,30,5/20/1985, Great Britain
103,7/2/2016,Chris Froome,Team Sky,3529,89.08,0.067777778,2,14,1.86,69,31,5/20/1985, Great Britain
104,7/1/2017,Chris Froome,Team Sky,3540,86.34861111,0.015,0,15,1.86,69,32,5/20/1985, Great Britain
105,7/7/2018,Geraint Thomas,Team Sky,3349,83.28694444,0.016944444,2,11,1.83,71,32,5/25/1986, Great Britain
106,7/6/2019,Egan Bernal,Team Ineos,3349,82.95,0.016944444,0,2,1.75,60,22,1/13/1997, Colombia
